fund_name,max_drawdown
hdfc_top100,-0.4026012761687717
nippon_largecap,-0.3996075381332732
sbi_bluechip,-0.3665170175520131
icici_bluechip,-0.33509892369046657
kotak_bluechip,-0.3342987466611876
axis_bluechip,-0.013923580128646426
