date,nav,fund_name,daily_return
2013-01-01,23.9979,axis_bluechip,0.0002459153051017626
2013-01-02,24.0036,axis_bluechip,0.00023752078306849
2013-01-03,24.0092,axis_bluechip,0.0002332983385826548
2013-01-04,24.0147,axis_bluechip,0.0002290788531063015
2013-01-06,24.0258,axis_bluechip,0.000462216892153533
2013-01-07,24.0314,axis_bluechip,0.00023308276935640748
2013-01-08,24.0369,axis_bluechip,0.0002288672320380769
2013-01-09,24.0424,axis_bluechip,0.00022881486381365335
2013-01-10,24.0479,axis_bluechip,0.00022876251954873084
2013-01-11,24.0534,axis_bluechip,0.0002287101992275442
2013-01-13,24.0643,axis_bluechip,0.0004531583892506408
2013-01-14,24.0698,axis_bluechip,0.0002285543315201366
2013-01-15,24.0754,axis_bluechip,0.00023265669012606516
2013-01-16,24.0809,axis_bluechip,0.0002284489561961145
2013-01-17,24.0863,axis_bluechip,0.0002242441104776116
2013-01-18,24.0918,axis_bluechip,0.00022834557403994538
2013-01-20,24.1028,axis_bluechip,0.00045658688848493334
2013-01-21,24.1084,axis_bluechip,0.00023233815158407722
2013-01-22,24.1139,axis_bluechip,0.00022813625126527626
2013-01-23,24.1194,axis_bluechip,0.00022808421698683468
2013-01-24,24.1249,axis_bluechip,0.0002280322064396323
2013-01-27,24.1413,axis_bluechip,0.0006797955639195052
2013-01-28,24.1468,axis_bluechip,0.00022782534494814044
2013-01-29,24.1522,axis_bluechip,0.00022363211688514184
2013-01-30,24.1577,axis_bluechip,0.00022772252631231282
2013-01-31,24.1631,axis_bluechip,0.00022353121365026318
2013-02-01,24.1686,axis_bluechip,0.00022761980043961572
2013-02-03,24.1795,axis_bluechip,0.0004509984028864267
2013-02-04,24.1849,axis_bluechip,0.00022332968010085885
2013-02-05,24.1903,axis_bluechip,0.00022327981509140393
2013-02-06,24.1959,axis_bluechip,0.00023149774909780874
2013-02-07,24.2013,axis_bluechip,0.00022317830706852781
2013-02-08,24.2067,axis_bluechip,0.00022312850962569186
2013-02-10,24.2174,axis_bluechip,0.00044202638112578185
2013-02-11,24.223,axis_bluechip,0.0002312386961440538
2013-02-12,24.2284,axis_bluechip,0.0002229286215580384
2013-02-13,24.2338,axis_bluechip,0.0002228789354641325
2013-02-14,24.2392,axis_bluechip,0.00022282927151340282
2013-02-15,24.2446,axis_bluechip,0.00022277962969075027
2013-02-17,24.2554,axis_bluechip,0.0004454600199632619
2013-02-18,24.2609,axis_bluechip,0.00022675363011948058
2013-02-19,24.2664,axis_bluechip,0.00022670222456722122
2013-02-20,24.2719,axis_bluechip,0.0002266508423167668
2013-02-21,24.2773,axis_bluechip,0.00022247949274678547
2013-02-22,24.2828,axis_bluechip,0.0002265490808286419
2013-02-24,24.2938,axis_bluechip,0.00045299553593491915
2013-02-25,24.2993,axis_bluechip,0.00022639521194700585
2013-02-26,24.3047,axis_bluechip,0.00022222862386978015
2013-02-27,24.3102,axis_bluechip,0.00022629367982318627
2013-02-28,24.3157,axis_bluechip,0.0002262424825794085
2013-03-01,24.3212,axis_bluechip,0.00022619130849621527
2013-03-03,24.3322,axis_bluechip,0.00045228031511590494
2013-03-04,24.3377,axis_bluechip,0.00022603792505404563
2013-03-05,24.3433,axis_bluechip,0.00023009569515597406
2013-03-06,24.3489,axis_bluechip,0.00023004276330662599
2013-03-07,24.3546,axis_bluechip,0.00023409681751540568
2013-03-08,24.3601,axis_bluechip,0.00022583002800291574
2013-03-10,24.3714,axis_bluechip,0.0004638733010127183
2013-03-11,24.377,axis_bluechip,0.00022977752611663682
2013-03-12,24.3827,axis_bluechip,0.0002338269680437488
2013-03-13,24.3882,axis_bluechip,0.00022556976872945
2013-03-14,24.3939,axis_bluechip,0.00023371958570117535
2013-03-15,24.3995,axis_bluechip,0.00022956558811837446
2013-03-17,24.4112,axis_bluechip,0.0004795180229104634
2013-03-18,24.4172,axis_bluechip,0.0002457888182474388
2013-03-19,24.423,axis_bluechip,0.00023753747358412625
2013-03-20,24.4287,axis_bluechip,0.00023338656184757056
2013-03-21,24.4344,axis_bluechip,0.00023333210526965686
2013-03-22,24.4402,axis_bluechip,0.00023737026487258284
2013-03-24,24.4518,axis_bluechip,0.0004746278672023152
2013-03-25,24.4577,axis_bluechip,0.00024129102969916438
2013-03-26,24.464,axis_bluechip,0.00025758759000238385
2013-03-27,24.4699,axis_bluechip,0.00024117069980378325
2013-03-28,24.4795,axis_bluechip,0.0003923187262719896
2013-04-01,24.5163,axis_bluechip,0.0015032986784859759
2013-04-02,24.5294,axis_bluechip,0.0005343383789560008
2013-04-03,24.5363,axis_bluechip,0.0002812950989425911
2013-04-04,24.5419,axis_bluechip,0.00022823327070486954
2013-04-05,24.548,axis_bluechip,0.00024855451289429453
2013-04-07,24.559,axis_bluechip,0.00044810167834463677
2013-04-08,24.5645,axis_bluechip,0.00022395048658330197
2013-04-09,24.5702,axis_bluechip,0.00023204217468308919
2013-04-10,24.5758,axis_bluechip,0.00022791837266278314
2013-04-11,24.5815,axis_bluechip,0.00023193548124567087
2013-04-12,24.5872,axis_bluechip,0.0002318816996522699
2013-04-14,24.5986,axis_bluechip,0.00046365588598962226
2013-04-15,24.6045,axis_bluechip,0.0002398510484336036
2013-04-16,24.6103,axis_bluechip,0.00023572923652159794
2013-04-17,24.6161,axis_bluechip,0.00023567368134491673
2013-04-18,24.6219,axis_bluechip,0.00023561815234751649
2013-04-21,24.6392,axis_bluechip,0.000702626523541916
2013-04-22,24.645,axis_bluechip,0.00023539725315768756
2013-04-23,24.6507,axis_bluechip,0.0002312842361533729
2013-04-24,24.6565,axis_bluechip,0.0002352874360567192
2013-04-25,24.6623,axis_bluechip,0.0002352320889014159
2013-04-26,24.6681,axis_bluechip,0.0002351767677792882
2013-04-28,24.6796,axis_bluechip,0.0004661891268480378
2013-04-29,24.6855,axis_bluechip,0.00023906384220162558
2013-04-30,24.6913,axis_bluechip,0.00023495574324994273
2013-05-01,24.6971,axis_bluechip,0.0002349005520163594
2013-05-02,24.7029,axis_bluechip,0.00023484538670537347
2013-05-03,24.7088,axis_bluechip,0.00023883835501092854
2013-05-05,24.7203,axis_bluechip,0.0004654212264456614
